id_estudiante,nombre,email,nota_matematicas,nota_lengua,nota_ingles,nota_ciencias,nota_historia,media,asistencia_pct,participacion_pct,entregas_tardias,horas_estudio_semanal,riesgo
EST-0001,Albano Llopis Hierro,alumno0001@euniv.edu,7.19,6.05,7.47,9.04,5.88,7.13,82.66,98.43,0,12.3,0
EST-0002,Buenaventura de Bonet,alumno0002@euniv.edu,6.95,7.05,6.97,6.34,3.3,6.12,94.5,84.7,1,5.4,0
EST-0003,Ileana Antón-Andrés,alumno0003@euniv.edu,6.73,4.15,6.87,9.08,10.0,7.37,88.94,72.2,1,8.5,0
EST-0004,César Guerrero Vazquez,alumno0004@euniv.edu,6.92,9.71,8.52,6.86,6.16,7.63,83.38,60.39,3,10.0,0
EST-0005,Alba Mar Flor Rivas,alumno0005@euniv.edu,10.0,8.45,6.69,7.89,4.48,7.5,69.17,83.93,1,8.4,0
EST-0006,Jacobo del Agudo,alumno0006@euniv.edu,4.27,6.54,7.35,7.9,7.91,6.79,92.55,66.27,0,8.1,0
EST-0007,Paco Rocamora Nieto,alumno0007@euniv.edu,4.8,5.96,3.34,3.87,2.21,4.04,58.04,54.63,7,8.1,1
EST-0008,Casemiro Garrido-Navarro,alumno0008@euniv.edu,3.28,9.48,8.16,7.46,8.17,7.31,65.12,66.05,2,11.1,0
EST-0009,Arturo Pinto Caballero,alumno0009@euniv.edu,5.92,5.53,7.2,8.38,6.76,6.76,88.15,94.69,2,10.5,0
EST-0010,Soraya Núñez Lamas,alumno0010@euniv.edu,7.29,5.37,8.53,8.47,8.01,7.53,82.65,44.52,0,8.7,0
EST-0011,Pánfilo Segovia Casanovas,alumno0011@euniv.edu,8.82,7.7,8.39,4.36,6.3,7.11,99.04,69.67,1,5.0,0
EST-0012,Ani Marcos Pardo,alumno0012@euniv.edu,6.48,5.52,5.11,6.31,7.16,6.12,82.41,59.66,2,8.7,0
EST-0013,Celia Baños-Arroyo,alumno0013@euniv.edu,10.0,9.35,9.42,6.36,10.0,9.03,70.98,80.56,0,16.6,0
EST-0014,Rolando del Bernal,alumno0014@euniv.edu,7.11,9.66,10.0,9.57,8.02,8.87,81.34,81.68,1,6.3,0
EST-0015,Toribio de Pinto,alumno0015@euniv.edu,7.42,6.01,5.6,4.71,5.66,5.88,90.56,88.79,2,11.6,0
EST-0016,Javi Patiño-Cánovas,alumno0016@euniv.edu,6.77,7.71,4.07,3.92,7.24,5.94,87.97,74.51,1,11.0,0
EST-0017,Felicidad Gallego Lasa,alumno0017@euniv.edu,8.53,6.71,10.0,8.85,5.86,7.99,91.57,52.46,3,12.4,0
EST-0018,Marco Donoso Hierro,alumno0018@euniv.edu,7.78,9.71,5.86,4.94,4.7,6.6,76.84,68.61,4,11.0,0
EST-0019,Jerónimo Pino Lerma,alumno0019@euniv.edu,1.67,4.14,2.47,5.96,4.28,3.7,68.63,37.77,7,6.2,1
EST-0020,Constanza del Barba,alumno0020@euniv.edu,9.28,8.17,9.13,10.0,8.42,9.0,76.91,89.03,3,10.2,0
EST-0021,Segismundo de Moles,alumno0021@euniv.edu,5.83,3.11,4.75,4.66,4.24,4.52,78.72,65.87,6,4.0,1
EST-0022,Edelmira Batalla Galván,alumno0022@euniv.edu,5.43,6.45,10.0,2.94,7.54,6.47,68.87,61.51,0,13.3,0
EST-0023,Valentina Miranda-Garcia,alumno0023@euniv.edu,9.11,6.53,7.29,4.01,10.0,7.39,100.0,94.54,3,12.5,0
